cfg	 operation	 errors	 total_duration	 total_throughput	 duration_min	 duration_avg	 duration_max	 duration_99th-ile	 ttfb_min	 ttfb_avg	 ttfb_max	 ttfb_99th-ile	 numClients	 numSamples	 objectSize	 
20c_10ko_1mb.json	 "Read"	 0	 53.102968	 188.313392	 0.009206	 0.106121	 0.287316	 0.202996	 0.006419	 0.056371	 0.212015	 0.135969	 20	 10000	 1.000000	 
20c_10ko_256kb.json	 "Write"	 0	 42.826299	 58.375346	 0.014531	 0.085522	 0.247802	 0.186113	 0.014531	 0.085522	 0.247802	 0.186113	 20	 10000	 0.250000	 
20c_10ko_256kb.json	 "Read"	 0	 45.079148	 55.458013	 0.008025	 0.089999	 0.248759	 0.187445	 0.006839	 0.052823	 0.194228	 0.135124	 20	 10000	 0.250000	 
20c_10ko_256mb.json	 "Write"	 0	 6994.599841	 365.996634	 7.670626	 13.980912	 26.055070	 21.547181	 7.670626	 13.980911	 26.055070	 21.547180	 20	 10000	 256.000000	 
20c_10ko_256mb.json	 "Read"	 0	 1658.032498	 1543.998687	 0.544877	 3.314485	 10.346734	 4.872263	 0.021789	 0.097139	 3.273777	 0.395326	 20	 10000	 256.000000	 
5c_10ko_16kb.json	 "Write"	 0	 247.156987	 0.632189	 0.009012	 0.121609	 20.249104	 0.093654	 0.009012	 0.121608	 20.249104	 0.093654	 5	 10000	 0.015625	 
5c_10ko_16kb.json	 "Read"	 0	 122.941820	 1.270926	 0.012249	 0.061445	 0.170097	 0.130251	 0.008072	 0.022432	 0.130856	 0.091277	 5	 10000	 0.015625	 
5c_10ko_16mb.json	 "Write"	 0	 443.290624	 360.937027	 0.089166	 0.221611	 2.027393	 1.155107	 0.089166	 0.221611	 2.027393	 1.155107	 5	 10000	 16.000000	 
5c_10ko_16mb.json	 "Read"	 0	 304.202379	 525.965643	 0.035565	 0.152074	 0.341380	 0.276163	 0.008574	 0.050936	 0.206893	 0.152974	 5	 10000	 16.000000	 
5c_10ko_1kb.json	 "Write"	 0	 78.864757	 0.123827	 0.008629	 0.039378	 0.265627	 0.108358	 0.008628	 0.039378	 0.265627	 0.108358	 5	 10000	 0.000977	 
5c_10ko_1kb.json	 "Read"	 0	 73.948708	 0.132059	 0.008793	 0.036952	 0.154605	 0.100504	 0.008766	 0.036919	 0.154512	 0.100477	 5	 10000	 0.000977	 
5c_10ko_1mb.json	 "Write"	 0	 108.705465	 91.991695	 0.014025	 0.054317	 0.208667	 0.135980	 0.014025	 0.054317	 0.208666	 0.135980	 5	 10000	 1.000000	 
5c_10ko_1mb.json	 "Read"	 0	 118.021450	 84.730361	 0.009235	 0.058977	 0.209055	 0.144091	 0.006959	 0.028872	 0.166419	 0.101992	 5	 10000	 1.000000	 
5c_10ko_256kb.json	 "Write"	 0	 80.504275	 31.054251	 0.010368	 0.040217	 0.149825	 0.106482	 0.010368	 0.040217	 0.149825	 0.106481	 5	 10000	 0.250000	 
5c_10ko_256kb.json	 "Read"	 0	 106.956858	 23.373910	 0.008535	 0.053451	 0.175441	 0.125056	 0.007388	 0.026964	 0.133885	 0.086804	 5	 10000	 0.250000	 
5c_10ko_256mb.json	 "Write"	 0	 8668.722225	 295.314573	 1.500377	 4.333662	 21.746121	 11.822662	 1.500377	 4.333661	 21.746120	 11.822661	 5	 10000	 256.000000	 
5c_10ko_256mb.json	 "Read"	 0	 2297.668942	 1114.172696	 0.369355	 1.148650	 4.512776	 2.258419	 0.021887	 0.121715	 1.099123	 0.638872	 5	 10000	 256.000000	 
